r_lat,r_lng,neighborhood,locality,county
41.95,-87.7,Irving Park,Chicago,Cook County
41.941,-87.678,Roscoe Village,Chicago,Cook County
41.831,-87.609,Oakland,Chicago,Cook County
41.839,-87.622,South Commons,Chicago,Cook County
41.857,-87.662,Lower West Side,Chicago,Cook County
41.788,-87.588,East Hyde Park,Chicago,Cook County
41.844,-87.645,Bridgeport,Chicago,Cook County
41.861,-87.657,Little Italy,Chicago,Cook County
41.831,-87.647,Bridgeport,Chicago,Cook County
41.98,-87.682,Lincoln Square,Chicago,Cook County
41.976,-87.701,Lincoln Square,Chicago,Cook County
41.89,-87.68,West Town,Chicago,Cook County
41.94,-87.71,Avondale,Chicago,Cook County
41.96,-87.66,Uptown,Chicago,Cook County
41.961,-87.649,Uptown,Chicago,Cook County
41.86,-87.61,Near South Side,Chicago,Cook County
41.93,-87.76,Belmont Cragin,Chicago,Cook County
41.89,-87.67,West Town,Chicago,Cook County
41.87,-87.64,Near West Side,Chicago,Cook County
41.945,-87.707,Avondale,Chicago,Cook County
41.855,-87.654,Lower West Side,Chicago,Cook County
41.98,-87.678,Lincoln Square,Chicago,Cook County
41.92,-87.75,Belmont Cragin,Chicago,Cook County
41.968,-87.712,Albany Park,Chicago,Cook County
42.011,-87.662,Rogers Park,Chicago,Cook County
41.857,-87.628,Near South Side,Chicago,Cook County
41.853,-87.626,Near South Side,Chicago,Cook County
41.961,-87.706,Irving Park,Chicago,Cook County
41.877,-87.64,West Loop,Chicago,Cook County
41.94,-87.63,Lake View,Chicago,Cook County
41.954,-87.686,North Center,Chicago,Cook County
41.85,-87.632,Armour Square,Chicago,Cook County
42.021,-87.665,Rogers Park,Chicago,Cook County
41.87,-87.66,Little Italy,Chicago,Cook County
42.019,-87.674,Rogers Park,Chicago,Cook County
41.8,-87.58,Hyde Park,Chicago,Cook County
41.91,-87.66,West Town,Chicago,Cook County
41.96,-87.69,North Center,Chicago,Cook County
41.899,-87.623,Streeterville,Chicago,Cook County
41.96,-87.71,Irving Park,Chicago,Cook County
41.88,-87.686,Near West Side,Chicago,Cook County
41.892,-87.627,River North,Chicago,Cook County
41.931,-87.724,Logan Square,Chicago,Cook County
41.885,-87.644,West Loop,Chicago,Cook County
41.95,-87.68,North Center,Chicago,Cook County
41.8,-87.586,East Hyde Park,Chicago,Cook County
41.895,-87.635,River North,Chicago,Cook County
41.87,-87.67,Near West Side,Chicago,Cook County
41.847,-87.647,Bridgeport,Chicago,Cook County
41.9,-87.65,Goose Island,Chicago,Cook County
41.894,-87.618,Streeterville,Chicago,Cook County
41.96,-87.67,Lake View,Chicago,Cook County
41.865,-87.667,Near West Side,Chicago,Cook County
41.892,-87.689,West Town,Chicago,Cook County
41.95,-87.714,Irving Park,Chicago,Cook County
41.884,-87.648,Fulton Market District,Chicago,Cook County
41.878,-87.674,Near West Side,Chicago,Cook County
42.004,-87.672,Rogers Park,Chicago,Cook County
41.99,-87.65,Edgewater,Chicago,Cook County
41.86,-87.65,Little Italy,Chicago,Cook County
41.941,-87.679,Roscoe Village,Chicago,Cook County
41.966,-87.701,Albany Park,Chicago,Cook County
41.886,-87.636,Chicago Loop,Chicago,Cook County
41.953,-87.732,Old Irving Park,Chicago,Cook County
41.872,-87.624,Chicago Loop,Chicago,Cook County
41.94,-87.72,Avondale,Chicago,Cook County
41.97,-87.64,Uptown,Chicago,Cook County
41.903,-87.679,West Town,Chicago,Cook County
42.053,-87.673,NA,Evanston,Cook County
41.88,-87.67,Near West Side,Chicago,Cook County
41.884,-87.628,Chicago Loop,Chicago,Cook County
41.98,-87.69,Lincoln Square,Chicago,Cook County
